,Mean Price,Bid,Ask,Strike,Current Stock Price,Days to Expiry
0,2282.9,2280.4,2285.4,1000.0,3283.27,3
1,1907.5500000000002,1904.7,1910.4,1375.0,3283.27,3
2,1549.55,1547.6,1551.5,1400.0,3283.27,3
3,1715.5,1713.4,1717.6,1425.0,3283.27,3
4,1500.35,1498.4,1502.3,1450.0,3283.27,3
5,1540.55,1537.0,1544.1,1475.0,3283.27,3
6,1732.9,1730.3,1735.5,1550.0,3283.27,3
7,1104.35,1100.1,1108.6,1800.0,3283.27,3
8,1320.6,1317.8,1323.4,1825.0,3283.27,3
9,1414.5,1411.4,1417.6,1850.0,3283.27,3
10,1282.6,1279.7,1285.5,2000.0,3283.27,3
11,1261.2,1259.2,1263.2,2025.0,3283.27,3
12,889.05,887.2,890.9,2075.0,3283.27,3
13,1187.55,1185.5,1189.6,2100.0,3283.27,3
14,997.25,992.7,1001.8,2175.0,3283.27,3
15,1087.35,1085.3,1089.4,2200.0,3283.27,3
16,1039.6,1036.5,1042.7,2225.0,3283.27,3
17,1032.75,1029.9,1035.6,2250.0,3283.27,3
18,1008.1,1005.6,1010.6,2275.0,3283.27,3
19,919.75,916.0,923.5,2300.0,3283.27,3
20,912.6500000000001,910.6,914.7,2375.0,3283.27,3
21,883.5,880.6,886.4,2400.0,3283.27,3
22,837.45,835.4,839.5,2450.0,3283.27,3
23,525.4,522.9,527.9,2475.0,3283.27,3
24,787.45,785.4,789.5,2500.0,3283.27,3
25,589.05,584.2,593.9,2525.0,3283.27,3
26,737.75,735.7,739.8,2550.0,3283.27,3
27,711.4,709.4,713.4,2575.0,3283.27,3
28,687.75,685.7,689.8,2600.0,3283.27,3
29,657.65,654.9,660.4,2625.0,3283.27,3
30,637.55,635.5,639.6,2650.0,3283.27,3
31,589.8,586.7,592.9,2675.0,3283.27,3
32,539.8,536.7,542.9,2725.0,3283.27,3
33,537.8499999999999,535.8,539.9,2750.0,3283.27,3
34,508.15,505.6,510.7,2775.0,3283.27,3
35,487.85,485.8,489.9,2800.0,3283.27,3
36,462.85,460.8,464.9,2825.0,3283.27,3
37,433.45,430.7,436.2,2850.0,3283.27,3
38,412.65,410.6,414.7,2875.0,3283.27,3
39,383.4,380.6,386.2,2900.0,3283.27,3
40,358.05,355.3,360.8,2925.0,3283.27,3
41,333.15,330.6,335.7,2950.0,3283.27,3
42,307.75,305.0,310.5,2975.0,3283.27,3
43,287.95,285.9,290.0,3000.0,3283.27,3
44,262.95,260.9,265.0,3025.0,3283.27,3
45,238.05,236.0,240.1,3050.0,3283.27,3
46,208.15,205.4,210.9,3075.0,3283.27,3
47,187.85000000000002,185.8,189.9,3100.0,3283.27,3
48,163.14999999999998,161.1,165.2,3125.0,3283.27,3
49,138.2,136.2,140.2,3150.0,3283.27,3
50,113.1,111.1,115.1,3175.0,3283.27,3
51,88.6,86.7,90.5,3200.0,3283.27,3
52,59.05,57.3,60.8,3225.0,3283.27,3
53,36.5,36.2,36.8,3250.0,3283.27,3
54,6.3,6.1,6.5,3300.0,3283.27,3
55,0.05,0.0,0.1,3400.0,3283.27,3
56,0.025,0.0,0.05,3700.0,3283.27,3
57,0.025,0.0,0.05,3800.0,3283.27,3
58,0.025,0.0,0.05,4000.0,3283.27,3
59,0.0,0.0,0.0,4100.0,3283.27,3
60,1203.05,1201.1,1205.0,1750.0,3283.27,66
61,1178.75,1176.8,1180.7,1775.0,3283.27,66
62,1482.25,1480.1,1484.4,1800.0,3283.27,66
63,1130.3000000000002,1128.4,1132.2,1825.0,3283.27,66
64,1010.65,1008.9,1012.4,1975.0,3283.27,66
65,1282.9499999999998,1280.8,1285.1,2000.0,3283.27,66
66,1069.4499999999998,1064.3,1074.6,2100.0,3283.27,66
67,970.5,965.4,975.6,2200.0,3283.27,66
68,1054.5,1050.3,1058.7,2225.0,3283.27,66
69,794.8,792.2,797.4,2325.0,3283.27,66
70,912.25,908.1,916.4,2350.0,3283.27,66
71,885.2,883.1,887.3,2400.0,3283.27,66
72,601.2,593.6,608.8,2425.0,3283.27,66
73,835.6,833.5,837.7,2450.0,3283.27,66
74,521.9,520.3,523.5,2475.0,3283.27,66
75,786.25,784.2,788.3,2500.0,3283.27,66
76,392.7,389.2,396.2,2525.0,3283.27,66
77,731.6,728.0,735.2,2550.0,3283.27,66
78,711.8,709.8,713.8,2575.0,3283.27,66
79,687.1,685.1,689.1,2600.0,3283.27,66
80,633.25,630.0,636.5,2650.0,3283.27,66
81,555.8,553.3,558.3,2675.0,3283.27,66
82,584.0,580.3,587.7,2700.0,3283.27,66
83,564.4,562.5,566.3,2725.0,3283.27,66
84,539.95,538.1,541.8,2750.0,3283.27,66
85,510.65,507.0,514.3,2775.0,3283.27,66
86,491.3,489.5,493.1,2800.0,3283.27,66
87,467.05,465.3,468.8,2825.0,3283.27,66
88,442.95,441.2,444.7,2850.0,3283.27,66
89,414.8,412.8,416.8,2875.0,3283.27,66
90,395.0,393.4,396.6,2900.0,3283.27,66
91,347.7,346.2,349.2,2950.0,3283.27,66
92,301.29999999999995,300.9,301.7,3000.0,3283.27,66
93,207.0,206.7,207.3,3100.0,3283.27,66
94,124.35,124.1,124.6,3200.0,3283.27,66
95,54.7,54.5,54.9,3300.0,3283.27,66
96,14.399999999999999,14.1,14.7,3400.0,3283.27,66
97,0.575,0.5,0.65,3600.0,3283.27,66
98,1831.8,1829.3,1834.3,1100.0,3283.27,157
99,1457.35,1453.1,1461.6,1500.0,3283.27,157
100,1670.4,1665.2,1675.6,1600.0,3283.27,157
101,1249.1999999999998,1246.8,1251.6,1700.0,3283.27,157
