,Mean Price,Bid,Ask,Strike,Current Stock Price,Days to Expiry
0,0.025,0.0,0.05,1000.0,3283.27,3
1,0.025,0.0,0.05,1100.0,3283.27,3
2,0.025,0.0,0.05,1200.0,3283.27,3
3,0.175,0.05,0.3,1250.0,3283.27,3
4,0.05,0.0,0.1,1300.0,3283.27,3
5,0.025,0.0,0.05,1325.0,3283.27,3
6,0.025,0.0,0.05,1375.0,3283.27,3
7,0.025,0.0,0.05,1400.0,3283.27,3
8,0.025,0.0,0.05,1425.0,3283.27,3
9,0.025,0.0,0.05,1450.0,3283.27,3
10,0.025,0.0,0.05,1475.0,3283.27,3
11,0.025,0.0,0.05,1500.0,3283.27,3
12,0.025,0.0,0.05,1550.0,3283.27,3
13,0.025,0.0,0.05,1600.0,3283.27,3
14,0.025,0.0,0.05,1650.0,3283.27,3
15,0.025,0.0,0.05,1675.0,3283.27,3
16,0.025,0.0,0.05,1700.0,3283.27,3
17,0.025,0.0,0.05,1750.0,3283.27,3
18,0.025,0.0,0.05,1775.0,3283.27,3
19,0.025,0.0,0.05,1825.0,3283.27,3
20,0.025,0.0,0.05,1850.0,3283.27,3
21,0.025,0.0,0.05,1875.0,3283.27,3
22,0.025,0.0,0.05,1900.0,3283.27,3
23,0.025,0.0,0.05,1925.0,3283.27,3
24,0.025,0.0,0.05,1950.0,3283.27,3
25,0.025,0.0,0.05,1975.0,3283.27,3
26,0.025,0.0,0.05,2000.0,3283.27,3
27,0.025,0.0,0.05,2025.0,3283.27,3
28,0.025,0.0,0.05,2050.0,3283.27,3
29,0.025,0.0,0.05,2075.0,3283.27,3
30,0.025,0.0,0.05,2100.0,3283.27,3
31,0.025,0.0,0.05,2125.0,3283.27,3
32,0.025,0.0,0.05,2150.0,3283.27,3
33,0.025,0.0,0.05,2175.0,3283.27,3
34,0.025,0.0,0.05,2225.0,3283.27,3
35,0.025,0.0,0.05,2250.0,3283.27,3
36,0.025,0.0,0.05,2275.0,3283.27,3
37,0.025,0.0,0.05,2300.0,3283.27,3
38,0.025,0.0,0.05,2350.0,3283.27,3
39,0.025,0.0,0.05,2400.0,3283.27,3
40,0.025,0.0,0.05,2425.0,3283.27,3
41,0.025,0.0,0.05,2450.0,3283.27,3
42,0.025,0.0,0.05,2475.0,3283.27,3
43,0.025,0.0,0.05,2500.0,3283.27,3
44,0.025,0.0,0.05,2525.0,3283.27,3
45,0.025,0.0,0.05,2550.0,3283.27,3
46,0.025,0.0,0.05,2575.0,3283.27,3
47,0.025,0.0,0.05,2650.0,3283.27,3
48,0.025,0.0,0.05,2675.0,3283.27,3
49,0.025,0.0,0.05,2700.0,3283.27,3
50,0.025,0.0,0.05,2725.0,3283.27,3
51,0.025,0.0,0.05,2750.0,3283.27,3
52,0.05,0.0,0.1,2775.0,3283.27,3
53,0.05,0.0,0.1,2800.0,3283.27,3
54,0.05,0.0,0.1,2850.0,3283.27,3
55,0.05,0.0,0.1,2875.0,3283.27,3
56,0.05,0.0,0.1,2900.0,3283.27,3
57,0.05,0.0,0.1,2925.0,3283.27,3
58,0.05,0.0,0.1,2950.0,3283.27,3
59,0.07500000000000001,0.05,0.1,3000.0,3283.27,3
60,0.075,0.0,0.15,3025.0,3283.27,3
61,0.1,0.05,0.15,3050.0,3283.27,3
62,0.125,0.05,0.2,3075.0,3283.27,3
63,0.1,0.05,0.15,3100.0,3283.27,3
64,0.175,0.1,0.25,3125.0,3283.27,3
65,0.22499999999999998,0.15,0.3,3150.0,3283.27,3
66,0.625,0.55,0.7,3200.0,3283.27,3
67,2.95,2.8,3.1,3250.0,3283.27,3
68,21.25,21.0,21.5,3300.0,3283.27,3
69,112.05,110.0,114.1,3400.0,3283.27,3
70,234.7,231.8,237.6,3500.0,3283.27,3
71,311.95,309.9,314.0,3600.0,3283.27,3
72,716.6500000000001,714.1,719.2,4000.0,3283.27,3
73,816.4000000000001,813.6,819.2,4100.0,3283.27,3
74,0.05,0.0,0.1,1275.0,3283.27,66
75,0.05,0.0,0.1,1300.0,3283.27,66
76,0.05,0.0,0.1,1350.0,3283.27,66
77,0.05,0.0,0.1,1375.0,3283.27,66
78,0.05,0.0,0.1,1400.0,3283.27,66
79,0.22499999999999998,0.15,0.3,1450.0,3283.27,66
80,0.075,0.0,0.15,1475.0,3283.27,66
81,0.075,0.0,0.15,1500.0,3283.27,66
82,0.075,0.0,0.15,1550.0,3283.27,66
83,0.07500000000000001,0.05,0.1,1600.0,3283.27,66
84,0.125,0.05,0.2,1650.0,3283.27,66
85,0.125,0.05,0.2,1700.0,3283.27,66
86,0.15,0.05,0.25,1725.0,3283.27,66
87,0.15000000000000002,0.1,0.2,1750.0,3283.27,66
88,0.35,0.3,0.4,1775.0,3283.27,66
89,0.175,0.1,0.25,1800.0,3283.27,66
90,0.2,0.15,0.25,1850.0,3283.27,66
91,0.22499999999999998,0.15,0.3,1900.0,3283.27,66
92,0.275,0.2,0.35,1950.0,3283.27,66
93,0.275,0.2,0.35,1975.0,3283.27,66
94,0.30000000000000004,0.2,0.4,2000.0,3283.27,66
95,0.35,0.3,0.4,2025.0,3283.27,66
96,0.35,0.3,0.4,2050.0,3283.27,66
97,0.4,0.35,0.45,2100.0,3283.27,66
98,0.45,0.4,0.5,2125.0,3283.27,66
99,0.525,0.45,0.6,2175.0,3283.27,66
100,0.55,0.5,0.6,2200.0,3283.27,66
101,0.6499999999999999,0.6,0.7,2250.0,3283.27,66
102,0.7250000000000001,0.65,0.8,2300.0,3283.27,66
103,0.8,0.75,0.85,2325.0,3283.27,66
104,0.875,0.8,0.95,2350.0,3283.27,66
105,0.925,0.85,1.0,2375.0,3283.27,66
106,1.025,0.95,1.1,2400.0,3283.27,66
107,1.125,1.05,1.2,2425.0,3283.27,66
108,1.2,1.15,1.25,2450.0,3283.27,66
109,1.35,1.3,1.4,2475.0,3283.27,66
110,1.5,1.4,1.6,2500.0,3283.27,66
111,1.625,1.55,1.7,2525.0,3283.27,66
112,1.7999999999999998,1.7,1.9,2550.0,3283.27,66
113,2.025,1.95,2.1,2575.0,3283.27,66
114,2.2,2.1,2.3,2600.0,3283.27,66
115,2.45,2.35,2.55,2625.0,3283.27,66
116,2.7750000000000004,2.7,2.85,2650.0,3283.27,66
117,3.1,3.0,3.2,2675.0,3283.27,66
118,3.45,3.3,3.6,2700.0,3283.27,66
119,3.8,3.7,3.9,2725.0,3283.27,66
120,4.25,4.1,4.4,2750.0,3283.27,66
121,4.800000000000001,4.7,4.9,2775.0,3283.27,66
122,5.4,5.3,5.5,2800.0,3283.27,66
123,6.199999999999999,6.1,6.3,2825.0,3283.27,66
124,7.0,6.9,7.1,2850.0,3283.27,66
125,8.75,8.6,8.9,2900.0,3283.27,66
126,11.3,11.1,11.5,2950.0,3283.27,66
127,14.5,14.3,14.7,3000.0,3283.27,66
128,18.7,18.5,18.9,3050.0,3283.27,66
129,40.15,39.9,40.4,3200.0,3283.27,66
130,0.1,0.05,0.15,1000.0,3283.27,157
131,0.15000000000000002,0.1,0.2,1100.0,3283.27,157
132,0.15,0.05,0.25,1200.0,3283.27,157
133,0.35,0.25,0.45,1225.0,3283.27,157
134,0.125,0.05,0.2,1250.0,3283.27,157
135,0.2,0.4,0.0,1300.0,3283.27,157
136,0.2,0.1,0.3,1350.0,3283.27,157
137,0.7,0.6,0.8,1375.0,3283.27,157
138,0.25,0.15,0.35,1400.0,3283.27,157
139,0.275,0.2,0.35,1450.0,3283.27,157
140,0.30000000000000004,0.2,0.4,1475.0,3283.27,157
141,0.30000000000000004,0.2,0.4,1500.0,3283.27,157
142,0.35,0.25,0.45,1550.0,3283.27,157
143,0.425,0.35,0.5,1600.0,3283.27,157
144,0.45,0.35,0.55,1625.0,3283.27,157
145,0.47500000000000003,0.4,0.55,1650.0,3283.27,157
146,0.575,0.5,0.65,1700.0,3283.27,157
147,0.625,0.55,0.7,1725.0,3283.27,157
148,0.65,0.55,0.75,1750.0,3283.27,157
149,0.7749999999999999,0.7,0.85,1800.0,3283.27,157
150,0.825,0.75,0.9,1825.0,3283.27,157
151,0.9,0.8,1.0,1850.0,3283.27,157
152,0.95,0.85,1.05,1875.0,3283.27,157
153,1.025,0.95,1.1,1900.0,3283.27,157
154,1.325,1.2,1.45,1925.0,3283.27,157
155,1.225,1.15,1.3,1950.0,3283.27,157
156,1.325,1.25,1.4,1975.0,3283.27,157
157,1.425,1.35,1.5,2000.0,3283.27,157
158,1.575,1.5,1.65,2025.0,3283.27,157
159,1.7000000000000002,1.6,1.8,2050.0,3283.27,157
160,1.85,1.75,1.95,2075.0,3283.27,157
161,2.025,1.95,2.1,2100.0,3283.27,157
162,2.2249999999999996,2.15,2.3,2125.0,3283.27,157
163,2.425,2.35,2.5,2150.0,3283.27,157
164,2.675,2.6,2.75,2175.0,3283.27,157
165,2.85,2.75,2.95,2200.0,3283.27,157
166,3.15,3.0,3.3,2225.0,3283.27,157
167,3.5,3.4,3.6,2250.0,3283.27,157
168,3.75,3.6,3.9,2275.0,3283.27,157
169,4.15,4.0,4.3,2300.0,3283.27,157
170,4.5,4.3,4.7,2325.0,3283.27,157
171,4.949999999999999,4.8,5.1,2350.0,3283.27,157
172,5.4,5.3,5.5,2375.0,3283.27,157
173,5.949999999999999,5.8,6.1,2400.0,3283.27,157
174,6.550000000000001,6.4,6.7,2425.0,3283.27,157
175,7.15,7.0,7.3,2450.0,3283.27,157
176,7.85,7.7,8.0,2475.0,3283.27,157
177,8.600000000000001,8.4,8.8,2500.0,3283.27,157
178,9.4,9.3,9.5,2525.0,3283.27,157
179,10.2,10.0,10.4,2550.0,3283.27,157
180,11.3,11.2,11.4,2575.0,3283.27,157
181,12.35,12.2,12.5,2600.0,3283.27,157
182,13.55,13.4,13.7,2625.0,3283.27,157
183,14.600000000000001,14.4,14.8,2650.0,3283.27,157
184,15.850000000000001,15.6,16.1,2675.0,3283.27,157
185,17.35,17.1,17.6,2700.0,3283.27,157
186,19.0,18.8,19.2,2725.0,3283.27,157
187,20.45,20.2,20.7,2750.0,3283.27,157
188,22.450000000000003,22.3,22.6,2775.0,3283.27,157
189,24.4,24.2,24.6,2800.0,3283.27,157
190,26.65,26.5,26.8,2825.0,3283.27,157
191,28.35,28.1,28.6,2850.0,3283.27,157
192,31.049999999999997,30.9,31.2,2875.0,3283.27,157
193,33.25,33.0,33.5,2900.0,3283.27,157
194,36.45,36.2,36.7,2925.0,3283.27,157
195,39.599999999999994,39.4,39.8,2950.0,3283.27,157
196,42.05,41.8,42.3,2975.0,3283.27,157
197,45.3,45.0,45.6,3000.0,3283.27,157
198,48.900000000000006,48.6,49.2,3025.0,3283.27,157
199,53.65,53.4,53.9,3050.0,3283.27,157
200,57.0,56.7,57.3,3075.0,3283.27,157
201,62.55,62.3,62.8,3100.0,3283.27,157
202,67.35,67.1,67.6,3125.0,3283.27,157
203,72.7,72.4,73.0,3150.0,3283.27,157
204,77.2,76.9,77.5,3175.0,3283.27,157
205,84.8,84.5,85.1,3200.0,3283.27,157
206,99.1,98.8,99.4,3250.0,3283.27,157
207,107.7,107.4,108.0,3275.0,3283.27,157
208,114.5,114.1,114.9,3300.0,3283.27,157
209,137.89999999999998,137.6,138.2,3350.0,3283.27,157
210,161.15,160.3,162.0,3400.0,3283.27,157
211,0.075,0.0,0.15,100.0,3283.27,339
212,0.025,0.0,0.05,200.0,3283.27,339
213,0.075,0.0,0.15,300.0,3283.27,339
214,0.1,0.0,0.2,400.0,3283.27,339
215,0.1,0.05,0.15,500.0,3283.27,339
216,0.125,0.05,0.2,600.0,3283.27,339
217,0.15,0.0,0.3,650.0,3283.27,339
218,0.175,0.05,0.3,700.0,3283.27,339
